Address (Brooklyn),Close Date,Sale Price,Neighborhood,Square Footage (ft2),PPSF,Type,Beds,Baths,Living Room Width,Living Room Length,Bedroom 1 Width,Bedroom 1 Length,Bedroom 2 Width,Bedroom 2 Length,Bedroom 3 Width,Bedroom 3 Length,"Kitchen Type (Line, L-shape, Island, Galley)",Closets,Walk In (Living Room),Walk In (Master Bedroom),
34 Seventh avenue ,5/4/2023,"$3,470,000",park slope ,4000,$868,Townhouse,6,4.5,11.9,16.8,11.9,16.5,11.9,18,13.1,14,Line,2,0,0,
2136 East 35th street,5/24/2023,"$899,000",marine Park,1440,$624,House,3,2.5,,,,,,,,,L-shape,7,0,0,
415 99th street,2/20/2023,"$675,000",Fort Hamilton,,#DIV/0!,,2,1,,,,,,,,,,,,,
29 South 3rd street #1A,5/16/2023,"$1,575,000",Williamsburg,1524,"$1,033",Condo,2,2.5,12,21,10.9,13.4,15,14.5,,,Galley,4,0,0,
414 49th street #8,2/17/2023,"$1,200,000",Sunset Park,7000,$171,Other type,22,8,,,,,,,,,,,,,
100 Jay Street #16J,4/4/2023,"$1,195,000",Dumbo,909,"$1,315",Condo,1,1,26.7,12.1,16.8,11.1,,,,,Galley,2,1,0,
323 Lenox Road #5G,4/27/2023,"$625,000",Flatbush,707,$884,New Development,1,1,15,12.1,10.1,11.5,,,,,Galley,3,0,0,
1 City point #59D,3/15/2023,"$3,516,495",Downtown Brooklyn,1457,"$2,414",New Development,3,3,16.8,14.9,12.4,12.11,12.5,11,12.1,11,Island,5,0,0,
1 City point #57D,3/10/2023,"$3,500,415",Downtown Brooklyn,1457,"$2,402",New Development,3,3,16.8,14.9,12.4,12.11,12.5,11,12.1,11,Island,5,0,0,
1 City point #22J,3/30/2023,"$1,285,200",Downtown Brooklyn,792,"$1,623",New Development,1,1,12.9,19.11,12.2,12.3,,,,,Galley,3,0,0,
956 79th street #2B,5/18/2023,"$688,000",Dyker Heights,1050,$655,Condo,3,2,16.6,17.4,10.3,19.1,8.11,10.7,,,L-shape,6,0,0,
476 Union avenue #2A,4/26/2023,"$810,000",Williamsburg,668,"$1,213",Condo,1,1,12,17.1,10.2,11.8,,,,,Island,2,0,0,
764 Saint John´s Place #2B,4/25/2023,"$525,000",Crown Height,476,"$1,103",Condo,1,1,15.1,10.11,13.1,10.11,,,,,Island,2,0,0,
28 South Portland Avenue #TWNHS,5/19/2023,"$4,000,000",Fort Greene ,4805,$832,Multi-family,7,8,,,,,,,,,,,,,
2747 East 66th street,3/3/2023,"$1,568,000",Mill Basin ,3192,$491,House,5,3,,,,,,,,,,,,,
410 Nostrand avenue #2R,4/25/2023,"$875,000",Bedford-Stuyvesant,,#DIV/0!,Condo,2,1,14.7,12.5,10.9,12.3,10,9.5,,,Island,3,0,0,
202 Quentin Road #2B,5/10/2023,"$549,000",Gravesend,683,$804,Condo,1,1,,,,,,,,,,,,,
526 Union Avenue #605,4/15/2023,"$925,000",Williamsburg,605,"$1,529",New Development,1,1,25.8,11,14.6,10,,,,,Line,3,0,0,
838 Quincy street #1,5/3/2023,"$1,095,000",Stuyvesant Heights,1733,$632,Condo,3,2.5,12.2,18,15.4,10,10,10.7,,,Island,2,0,0,
345 Montgomery street #7D,5/19/2023,"$615,000",Crown Height,800,$769,Co-op,1,1,18.2,12.7,15.5,10.9,,,,,Island,1,0,1,
231 Park Place #15,3/16/2023,"$695,000",Prospect Heights,630,"$1,103",Co-op,1,1,18,11.7,14.6,13.5,,,,,Line,2,1,0,
345 Clinton Avenue #7E,5/18/2023,"$825,000",Clinton Hill,,#DIV/0!,Co-op,2,1,18.1,10.11,10.1,13.3,10.4,7.11,,,L-shape,2,0,1,
22 North 6th street #20E,5/3/2023,"$799,000",Williamsburg,,#DIV/0!,Condo,0,1,17.5,12.1,,,,,,,Line,2,0,0,
526 Union street #503,5/14/2023,"$1,525,000",Williamsburg,976,"$1,563",New Development,2,2,27,13,17.6,10.4,10.11,11,,,L-shape,4,0,0,
1065 Vermont street #54K,5/22/2023,"$290,000",New Lots ,666,$435,Condo,1,1,11.5,19.6,10.3,16,,,,,Island,3,0,0,
419 Grand street,4/28/2023,"$4,400,000",Williamsburg,4043,"$1,088",Building,2,3.5,58.3,15.1,27,16,15.11,15.4,,,Island,0,0,0,
