Address (Brooklyn),Close Date,Sale Price,Neighborhood,Square Footage (ft2),PPSF,Type,Beds,Baths,Living Room Width,Living Room Length,Bedroom 1 Width,Bedroom 1 Length,Bedroom 2 Width,Bedroom 2 Length,Bedroom 3 Width,Bedroom 3 Length,"Kitchen Type (Line, L-shape, Island, Galley)",Closets,Walk In (Living Room),Walk In (Master Bedroom),
2251 Plumb 1st street #2G,5/15/2023,"$170,000",Sheepshead Bay,700,$243,Co-op,1,1,11.7,17.95,11.8,13.9,,,,,L-shape,3,0,0,
1971 East 29th street,4/26/2023,"$874,999",Homecrest,1785,$490,House,3,2,,,,,,,,,,,,,
1869 Shore Parkway,6/9/2023,"$949,999",Gravesend,1920,$495,Multi-family ,4,2,14.5,9.4,15,11,9.3,8,9.3,14,L-shape,4,0,0,
4050 Nostrand Avenue #1B,5/2/2023,"$399,000",Sheepshead Bay,600,$665,Condo,1,1,,,,,,,,,,,,,
1456 East 66th street,4/25/2023,"$769,000",Bergen Beach,1220,$630,House,3,2.5,,,,,,,,,,,,,
183 Mc Guinness Boulevard #5D,4/25/2023,"$1,137,000",Greenpoint,798,"$1,425",Condo,2,2,10.99,14.9,8.6,11,8,11.9,,,Island,3,0,0,
160 Midwood street,3/29/2023,"$2,200,000",Prospect Lefferts Gardens,,#DIV/0!,House,3,2,13.6,30.5,19,16.5,12.4,13.6,6.7,9.6,Galley,5,0,1,
1129 East 81st street,2/14/2023,"$979,000",Canarsie,3670,$267,Multi-family ,7,4.5,,,,,,,,,,,,,
186 Huron street #1B,5/9/2023,"$1,899,000",Greenpoint,1615,"$1,176",Condo,2,2.5,,,,,,,,,Galley,3,0,0,
183 Mc Guinness Boulevard #PH6C,3/31/2023,"$799,000",Greenpoint,534,"$1,496",New Development,1,1,14.9,9.7,11.8,8.8,,,,,Island,3,0,0,
2 Northside Piers #PH4,3/3/2023,"$4,065,000",Williamsburg,2200,"$1,848",Condo,4,3.5,14.6,20,11.7,14.2,13.6,12.3,13.6,11,Island,1,0,0,
100 Jay street #22E,4/7/2023,"$1,095,000",Dumbo,800,"$1,369",New Development,1,1,20.2,12.4,13.4,11.4,,,,,Galley,3,0,0,
382 Barbey street #MIX,6/20/2023,"$1,300,000",East New York,,#DIV/0!,Building,14,6,,,,,,,,,,,,,
190 Garfield Place #3C,2/21/23,"$1,125,000",Park Slope,955,"$1,178",Condo,2,2,14,17,9,17,9,16,,,Galley,5,0,0,
235 Bay Ridge Avenue,5/19/2023,"$1,139,000",Bay Ridge ,1648,$691,Multi-family ,7,3,,,,,,,,,,,,,
829A Greene Avenue,2/13/23,"$2,499,000",Stuyvesant Heights,3780,$661,Multi-family ,6,4,16,13.6,16,10.5,15.99,12.95,16,12.2,Line,4,0,2,
150 Joralemon Street #10G,5/10/2023,"$599,000",Brooklyn Heights,,#DIV/0!,Co-op,0,1,14.2,19.1,14.2,7.6,,,,,L-shape,2,0,0,
505 Clinton Avenue #3F,3/29/2023,"$1,250,000",Clinton Hill,881,"$1,419",Condo,1,1,17.9,13,12,11.2,,,,,Island,0,0,1,
8803 Bay 16th street #2C,3/29/2023,"$638,000",Bath Beach ,880,$725,Condo,2,1.5,,,,,,,,,,,,,
645 East 26th street #6E,6/14/2023,"$249,000",Flatbush,775,$321,Co-op,1,1,12.95,20.95,11.95,18.2,,,,,L-shape,1,0,0,
346 93rd Street #2A,4/13/2023,"$1,349,000",Ford Hamilton,1500,$899,Condo,2,2,18.9,23.5,12,13.6,11.3,11,,,L-shape,0,0,1,
1 City Point #63B,5/8/2023,"$2,342,655",Downtown Brooklyn,1058,1058,New Development,2,2,13.2,12.3,11.4,13.9,19.6,13.5,,,L-shape,2,0,1,
1 City Point #23H,3/9/2023,"$1,235,000",Downtown Brooklyn,739,"$1,671",Condop,1,1,12.5,20.4,11,12.9,,,,,Line,1,1,0,
344 De Graw Street #4A,4/21/2023,"$1,075,000",Carroll Gardens,,#DIV/0!,Condo,2,2,14.3,12,14.3,10,14.3,12,,,Galley,3,0,0,
6 Hope street #1B,6/3/2023,"$925,000",Williamsburg,,#DIV/0!,Condo,1,1.5,11,14.2,12.95,13.99,15.6,13.99,,,L-shape,1,0,0,0
906 54th street ,4/26/2023,"$1,788,000",Borough Park,2072,$863,Multi-family ,8,2,,,,,,,,,,,,,
184 Saint Mark Avenue #1,3/1/2023,"$2,695,000",Prospect Heights,2162,"$1,247",Condo,2,2.5,,,,,,,,,,,,,
1136 East 28th street,3/31/2023,"$1,299,000",Midwood,,#DIV/0!,House,3,3.5,,,,,,,,,,,,,
61 Pierrepont street #42/45,5/25/2023,"$1,900,000",Brooklyn Heights,,#DIV/0!,Co-op,3,2,14,19.4,13,13.6,12.6,12,10.3,11,Galley,3,1,0,
460 East New York Avenue #4A,5/31/2023,"$585,000",Wingate,611,$957,Condo,1,1,9.2,13.9,9,12.6,,,,,Line,2,0,0,
175 Spencer street #5F,3/15/2023,"$699,000",Bedford-Stuyvesant,769,$909,Condo,1,1,20,14.6,12,15.4,,,,,L-shape,2,0,0,
1497 East 34th street,5/15/2023,"$1,149,000",Marine Park,3455,$333,Multi-family ,7,3,,,,,,,,,,,,,
1038 81st street,3/6/2023,"$989,000",Dyker Heights,1991,$497,House,3,1.5,,,,,,,,,,,,,
61 Green street #5,3/31/2023,"$1,195,000",Greenpoint,1500,$797,Condo,2,1,59.4,15,12.1,10.6,8.6,7.4,25,5.6,Galley,1,0,0,
164 A Huntington street #B,5/2/2023,"$1,200,000",Carroll Gardens,975,"$1,231",Co-op,2,2,15,16.4,10.95,15.5,8.5,12.3,,,Island,4,0,0,
2580 Ocean Parkway #4L,3/29/2023,"$529,000",Gravesend,1250,$423,Co-op,3,2,,,,,,,,,,,,,
1316 East 86th street,3/22/2023,"$799,000",Canarsie,,#DIV/0!,Multi-family ,5,2,,,,,,,,,,,,,
318 80th street #6,6/3/2023,"$1,399,000",Bay Ridge ,4920,$284,Multi-family ,11,6,,,,,,,,,,,,,
308 North 7th street #Garden,5/15/2023,"$1,850,000",Williamsburg,998,"$1,854",Condo,2,2,,,,,,,,,Island,2,0,1,
1080 Lorimer street #PHB,5/9/2023,"$2,600,000",Greenpoint,1588,"$1,637",Condo,3,2,13.6,16.6,12.4,15.17,11.95,13.95,10.9,11.6,Island,0,0,3,
1080 Lorimer street #2J,4/27/2023,"$1,695,000",Greenpoint,1292,"$1,312",Condo,2,2,11,22.7,10.99,15.99,10.6,15.95,,,Island,1,1,2,
1080 Lorimer street #3C,4/27/2023,"$1,635,000",Greenpoint,1159,"$1,411",Condo,2,2,13.6,21.95,10.6,11.6,10.4,12.7,,,Island,2,0,1,
1080 Lorimer street #3E,3/14/2023,"$1,450,000",Greenpoint,1418,"$1,023",Condo,1,2,,,10.9,12.7,,,,,Island,2,0,0,
1080 Lorimer street #2B,3/31/2023,"$995,000",Greenpoint,787,"$1,264",Condo,1,1,10.7,17.4,9.7,15.8,,,,,Island,3,0,0,
430 Sterling Place #1A,4/7/2023,"$900,000",Prospect Heights,,#DIV/0!,Co-op,2,1.5,15,12.9,15.4,10,14.95,9.5,10,5,Galley,2,0,0,
360 Furman street #921,2/26/2023,"$1,150,000",Brooklyn Heights,913,"$1,260",Condo,1,1,,,,,,,,,,,,,
930 East 7th street #2C,4/16/2023,"$279,000",Midwood,,#DIV/0!,Co-op,2,1,,,,,,,,,,,,,
282 chester street,5/30/2023,"$560,000",Brownsville,1116,$502,House,3,2,,,,,,,,,,,,,
2073 East 67th street,4/18/2023,"$835,000",Bergen Beach,,#DIV/0!,Multi-family ,3,2,,,,,,,,,,,,,
915 61st street,4/14/2023,"$1,299,000",Borough Park,1760,$738,Multi-family ,6,3,,,,,,,,,,,,,
739 East 9th street,6/6/2023,"$949,000",Midwood,,#DIV/0!,House,3,2.5,16.4,14.7,14.3,11,10,8,14.3,11,Galley,9,0,0,
1 Northside Pier #9F,1/3/2023,"$895,000",Williamsburg,611,"$1,465",Condo,0,1,,,,,,,,,,,,,
150 Bay 38th street,6/6/2023,"$1,480,000",Gravesend,2400,$617,Multi-family ,6,4,,,,,,,,,,,,,
344 De Graw street #PHC ,6/20/2023,"$1,795,000",Carroll Gardens,,#DIV/0!,Condo,3,2.5,8,14.4,9,11.5,9.3,14.7,14.4,20.5,Galley,6,0,1,
7101 Colonial Road #L6A,6/19/2023,"$319,000",Bay Ridge ,,#DIV/0!,Co-op,1,1,19.95,14.3,15.6,10.95,,,,,L-shape,4,0,0,
1717 East 34th street,3/29/2023,"$799,000",Marine Park,1827,$437,House,3,2.5,,,,,,,,,,,,,
140 East Second street #6U,5/23/2023,"$595,000",Windsor Terrace ,,#DIV/0!,Co-op,1,1,12,19.95,15.3,12.95,12.95,,,,Galley,4,0,0,
1306 Dean street,3/31/2023,"$1,900,000",Crown Heights ,4617,$412,Multi-family ,8,5.5,,,,,,,,,Line,11,0,0,
96 Schermerhorn street #10F,5/1/2023,"$949,000",Downtown Brooklyn,840,"$1,130",Co-op,1,1,20,16,11.2,11.99,,,,,L-shape,5,0,0,
227 Ocean Parkway #2A,5/27/2023,"$339,000",Kensington,,#DIV/0!,Co-op,1,1,9.2,19,10.9,18,,,,,Line,3,0,0,
360 Furman street #810,6/9/2023,"$1,949,000",Brooklyn Heights,1434,"$1,359",Condo,2,2,20.2,19.5,11.4,20,10.2,13.3,,,Island,2,0,1,
187 Hicks street #6D,5/17/2023,"$2,600,000",Brooklyn Heights,,#DIV/0!,Co-op,3,2,15,15.6,13.95,12.5,19.4,16.4,8.95,12,L-shape,5,0,1,
229 Stuyvesant Avenue ,4/21/2023,"$1,250,000",Stuyvesant Heights,"1,901",$658,Multi-family ,7,2,,,,,,,,,,,,,
954 Rockaway avenue ,5/10/2023,"$649,000",Brownsville,,#DIV/0!,House,4,2.5,14,21.2,11.1,12.6,8.9,9.1,7.11,14.6,Island,5,0,0,
428 East 55th street ,12/30/2022,"$999,000",East Flatbush,2000,$500,Multi-family ,,3,,,,,,,,,,,,,
270 Fifth street #2E,6/12/2023,"$995,000",Park Slope,,#DIV/0!,Co-op,2,1,24.95,12.8,15,9,15,10,14.4,9,Island,3,0,0,
1 City Point #23D,4/4/2023,"$1,222,000",Downtown Brooklyn,735,"$1,663",Condop,1,1,12,20.6,11,12.9,,,,,Line,1,1,0,
1 City Point #62B,4/4/2023,"$2,220,045",Downtown Brooklyn,1056,"$2,102",New Development,2,2,13.2,12.3,11.4,13.9,19.6,13.5,,,L-shape,2,0,1,
1098 Carroll street ,4/19/2023,"$2,050,000",Crown Heights,2760,$743,House,5,2.5,,,,,,,,,,,,,
1362 East 31st street,5/23/2023,"$2,795,000",Midwood,5040,$555,House,4,4,,,,,,,,,,,,,
1 Tiffany #4D,5/11/2023,"$780,000",Columbia st Waterfront District,834,$935,Condo,1,1,13.9,26.1,16.2,12.3,,,,,Island,3,0,0,
35 Wyona street,2/4/2023,"$499,000",East New York,1536,$325,Multi-family ,4,2,,,,,,,,,,,,,
84 Meserole Avenue #2,6/20/2023,"$2,850,000",Greenpoint,1657,"$1,720",New Development,3,2,15,11.9,12.99,11.7,12.95,11.7,10.6,10.8,L-shape,2,0,2,
223 East 4th street,5/2/2023,"$1,545,000",Kensington,1800,$858,Multi-family ,4,2.5,22,13.3,17.5,13.6,15.6,10,12.3,6.8,Line,6,0,1,
1717 avenue s ,6/2/2023,"$1,390,000",Homecrest,2418,$575,House,4,3,,,,,,,,,,,,,
283 Hicks street #4A,3/13/2023,"$1,498,000",Brooklyn Heights,NA,#VALUE!,Co-op,3,2,13.2,17.3,16.1,12,13.7,11.1,13.2,6.2,Galley,4,0,0,
401 Rutland Road #5D,5/29/2023,"$520,000",Wingate,526,$989,Condo,1,1,10.9,12.1,10.1,11.1,,,,,Line,2,1,0,
1735 71st street,4/6/2023,"$1,848,000",Bensonhurst,3000,$616,Multi-family ,5,4,,,,,,,,,,,,,
2009 Gerritsen Avenue ,5/22/2023,"$899,000",Sheepshead Bay,1744,$515,House,3,2.5,,,,,,,,,,,,,
2084 Bergen avenue ,3/23/2023,"$1,178,000",Bergen Beach,3158,$373,Multi-family ,8,5.5,,,,,,,,,,,,,
183 Mcguinness Boulevard #4C,4/17/2023,"$740,000",Greenpoint,534,"$1,386",New Development,1,1,14.8,9.7,13.8,8.8,,,,,Island,3,0,0,
349 Prospect place #4F,2/2/2023,"$995,000",Prospect Heights,690,"$1,442",Condo,1,1,13,12,32.2,23.8,10.6,9.1,,,Island,1,0,0,
1644 64th street,4/19/2023,"$1,750,000",Borough Park,2700,$648,Multi-family ,7,4,,,,,,,,,L-shape,6,0,0,
171 Schenectady Avenue ,5/12/2023,"$980,000",Weeksville ,1900,$516,Multi-family ,6,2,,,,,,,,,,,,,
1541 Nostrand Avenue,6/2/2023,"$1,150,000",Flatbush,3300,$348,Mixed-use,6,4,,,,,,,,,,,,,
70 Remsen street #11CD,12/21/2022,"$1,998,000",Brooklyn Heights,NA,#VALUE!,Co-op,2,2,24.9,10.1,11.1,18,,,,,Galley,1,0,0,
799 East 52nd street,6/6/2023,"$619,000",Farragut,,#DIV/0!,House,,,,,,,,,,,,,,,
65 Patchen avenue ,3/21/2023,"$2,095,000",Stuyvesant Heights,2400,$873,Multi-family ,5,3,18.1,28,18.2,10.1,9.1,14,9.1,14,Line,6,0,0,
24 Jerome street,5/2/2023,"$829,999",East New York,2555,$325,House,3,4,,,,,,,,,,,,,
1383 East 95th street,4/21/2023,"$849,999",Canarsie,1760,$483,Multi-family ,6,2,,,,,,,,,,,,,
12441 Flatland avenue #BD,4/6/2023,"$499,000",New lots,NA,#VALUE!,House,3,1.5,,,,,,,,,,,,,
1463 East 16th street,4/5/2023,"$1,249,000",Midwood,2394,$522,Multi-family ,5,2,19.8,17.6,10.1,18.2,10.1,14.6,9,10,Galley,4,0,0,
842 East 37th street,6/13/2023,"$835,000",Farragut,1654,$505,House,3,1.5,,,,,,,,,,,,,
292 Snediker avenue ,3/15/2023,"$795,000",East New York,2700,$294,Multi-family ,5,3,,,,,,,,,,,,,
140 East second street #PHC,3/31/2023,"$880,000",Windsor Terrace,1250,$704,Co-op,2,1,12,20.4,11.3,17.9,16.6,10.9,,,Galley,6,0,0,
723 Desmond Coutrt,5/26/2023,"$1,080,000",Sheepshead Bay,1944,$556,Multi-family ,3,2.5,,,,,,,,,,,,,
9956 Third Avenue #803,12/29/2022,"$739,000",Fort Hamilton,725,"$1,019",Condo,1,1,,,,,,,,,,,,,
101 Linden street #2A,4/25/2023,"$430,000",Bushwick,NA,#VALUE!,Co-op,2,1,,,,,,,,,L-shape,1,0,0,
931 82nd street,3/16/2023,"$998,000",Dyker Heights,1408,$709,House,3,1,,,,,,,,,,,,,
7609 Fouth Avenue #D5,6/11/2023,"$265,000",Bay Ridge,545,$486,Co-op,1,1,,,,,,,,,,,,,
2944 West 5th street #13M ,3/11/2023,"$355,000",Coney Island,700,$507,Co-op,1,1,,,,,,,,,,,,,
11 Hoyt street #48C,2/8/2023,"$2,345,000",Downtown Brooklyn,1378,"$1,702",New Development,2,2.5,16.6,10.5,13.6,12,10.11,10.5,,,Island,3,0,1,
156 22nd street,4/18/2023,"$1,350,000",Greenwood,2162,$624,Multi-family ,5,2,,,,,,,,,,,,,
800 East 17th street #3C,6/7/2023,"$675,000",Fiske Terrace,1035,$652,Co-op,2,2,11.95,18.19,18.7,12.95,11.8,18.9,,,Line,4,0,0,
319 Schermerhorn street #9D,4/21/2023,"$1,250,000",Downtown Brooklyn,1115,"$1,121",Condo,2,2,13.6,18.6,11.5,19.5,10,15,,,Island,4,0,1,
1405 Royce street #5,3/6/2023,"$220,000",Bergen Beach,500,$440,Condo,0,1,,,,,,,,,,,,,
1437 Hancock street #2B,5/25/2023,"$677,000",Bushwick,706,$959,Condo,1,1,13.1,16.7,10.1,9.7,9.6,9.1,9.6,9.1,Island,1,0,0,
1437 Hancock street garden-C,5/17/2023,"$695,000",Bushwick,853,$815,Condo,0,1,14.11,14.3,,,,,,,Line,0,0,0,
2274 West street,4/3/2023,"$1,750,000",Gravesend,3960,$442,Multi-family ,6,4,,,,,,,,,,,,,
26 Lester Court,3/17/2023,"$595,000",Gerritsen Beach,1507,$395,House,2,2.5,19,15,18.4,14.1,9.11,12.1,,,Island,1,0,0,
2411 East 4th street,4/25/2023,"$1,050,000",Gravesend,1680,$625,Multi-family ,3,2.5,,,,,,,,,,,,,
100 Maspeth Avenue #6D,5/10/2023,"$685,000",Williamsburg,NA,#VALUE!,Condo,1,1,11.5,15.8,10.2,9.3,,,,,L-shape,1,0,0,
234 Monroe street ,5/31/2023,"$1,500,000",Bedford-Stuvesant,2400,$625,Multi-family ,3,3,12.3,14.4,12.1,14.7,12.1,20.7,12.11,15,Line,5,0,0,
534 Bradford street #2FAM,2/28/2023,"$699,000",East New York,3000,$233,Multi-family ,6,2,,,,,,,,,,,,,
336 Saint Mark´s Avenue #3A,4/10/2023,"$2,300,000",Prospect Heights,1509,"$1,524",Condo,3,2.5,,,,,,,,,,,,,
2680 East 19th street #N1,4/28/2023,"$349,000",Sheepshead Bay,900,$388,Co-op,2,1,,,,,,,,,,,,,
674 Hancock street #3A,6/6/2023,"$845,000",Stuyvesant Heights,850,$994,Condo,2,2,9.7,17.5,8.5,14,8.6,19.5,,,Island,2,0,1,
164 Norman Avenue #3B,1/16/2023,"$795,000",Greenpoint,782,"$1,017",Condo,1,1,12.11,16.5,10,13.3,,,,,Island,0,0,0,
549 68th street,5/23/2023,"$999,000",Bay Ridge,1580,$632,House,5,2,,,,,,,,,,,,,
580 Carroll street #4C,5/10/2023,"$1,600,000",Park Slope,1275,"$1,255",Condo,2,2,28.2,11.9,12.7,10.7,17.5,11.8,,,Line,5,0,0,
43 Bay 11th street,4/3/2023,"$848,000",Bath Beach,1200,$707,House,3,2,12.7,11,10.9,11,9.5,8.9,9.5,10.11,Galley,2,0,0,
1186 Brooklyn Avenue,4/26/2023,"$699,999",East Flatbush,1450,$483,House,3,2,14,22,16,12.5,15.5,12.5,11.7,9.2,Line,6,0,0,
1862 East 14th street #2G,2/2/2023,"$325,000",Homecrest,800,$406,Co-op,1,1,12.3,19.4,11.4,17.5,,,,,Galley,1,0,0,
40 Prospect Park West #5K,4/20/2023,"$1,220,000",Park Slope,NA,#VALUE!,Co-op,2,1,12,20.2,11.9,17.9,11.8,8,,,Galley,3,0,1,
1430 West 4th street #5B,5/17/2023,"$530,000",Bensonhurst,554,$957,Condo,1,1,11.4,12.1,10.11,11.8,,,,,Line,0,0,0,
401 Gates Avenue #4D,3/23/2023,"$589,000",Bedford-Stuvesant,620,$950,Condo,1,1,,,,,,,,,,,,,
1079 East 43rd street,4/4/2023,"$749,000",East Flatbush,1512,$495,House,3,2.5,15.2,13.2,14.6,13.2,13,13.2,10,7,Line,7,0,0,
458 East 25th street #102,4/6/2023,"$500,000",Flatbush,629,$795,New Development,2,1,,,,,,,,,,,,,
301 Covert street #2C ,5/15/2023,"$545,000",Bushwick,587,$928,Condo,1,1,,,,,,,,,Island,,,,
458 East 25th street #101 ,3/30/2023,"$400,000",Flatbush,549,$729,New Development,1,1,15.5,10.8,10.5,10.9,,,,,Island,2,0,0,
1925 Harring street ,4/3/2023,"$948,000",Homecrest,1360,$697,House,3,2,,,,,,,,,,,,,
1606 Albany Avenue ,5/12/2023,"$699,999",Farragut,1920,$365,House,3,2,13.7,12.1,13.7,10.1,7.2,9.6,8.1,11.1,Galley,2,0,0,
175 Willoughby Street #7A,6/20/2023,"$899,000",Downtown Brooklyn,,#DIV/0!,Co-op,2,1,11.19,22.6,13.95,13.95,10.5,11.3,,,Galley,7,0,0,
560 17th street,5/12/2023,"$1,499,000",Windsor Terrace,1910,$785,House,4,1.5,,,,,,,,,,,,,
8502 Ft Hamilton Parkway #4A,6/12/2023,"$469,000",Bay Ridge,1000,$469,Co-op,2,1,12.7,11.3,12.7,7,18.6,11.8,,,Island,5,0,0,
352 95th street,5/8/2023,"$949,000",Fort Hamilton,1361,$697,House,3,1,15,11.1,15,11.11,9,9.3,9,10.8,L-shape,2,0,0,
1124 67th street #B1,4/19/2023,"$509,000",Dyker Heights,NA,#VALUE!,Condo,1,1,25.3,13.8,16,9.1,,,,,Galley,2,0,0,
2050 Coleman street,1/13/2023,"$1,190,000",Marine Park,4000,$298,Multi-family ,6,3,,,,,,,,,,,,,
2318 Avenue P ,5/23/2023,"$2,900,000",Homecrest,2944,$985,House,5,4.5,13.7,28.3,17.3,15.9,13.3,10.1,13.3,9.3,Island,8,0,2,
3814 Shore Parkway #3C,3/23/2023,"$650,000",Sheepshead Bay,1594,$408,Condo,3,2,13.6,15.1,16.11,12,12.11,11.1,9.4,11.1,L-shape,3,0,0,
1 City Point #35B,12/26/2022,"$1,198,000",Downtown Brooklyn,729,"$1,643",New Development,1,1,12,20.6,11,12.9,,,,,Line,0,1,0,
2823A West 17th street,5/28/2023,"$715,000",Coney Island,1344,$532,House,3,1.5,,,,,,,,,,,,,
282 Nassau Avenue #3A,5/18/2023,"$995,000",Greenpoint,930,"$1,070",Condo,1,2,10.1,15.2,9.4,14.9,,,,,Island,3,0,0,
7023 Ridge Crest Terrace,5/10/2023,"$1,059,000",Bay Ridge,1938,$546,Multi-family ,2,3.5,,,,,,,,,,,,,
60 73rd street,4/18/2023,"$1,800,000",Bay Ridge,4092,$440,Multi-family ,6,3,,,,,,,,,,,,,
2137 67th street,2/28/2023,"$1,100,000",Bensonhurst,2640,$417,House,4,1.5,,,,,,,,,,,,,
277 Washington Avenue #3J,4/28/2023,"$625,000",Clinton Hill,NA,#VALUE!,Co-op,1,1,,,,,,,,,,,,,
11 Hoyt street #43B,1/20/2023,"$2,165,000",Downtown Brooklyn,1296,"$1,671",New Development,2,2,11.5,11,12.3,13.4,12.1,10,,,Island,2,0,1,
824 Bay Ridge Avenue,6/2/2023,"$1,860,000",Dyker Heights,2280,$816,Multi-family ,5,2,,,,,,,,,,,,,
1 Hanson Place #9C,4/24/2023,"$1,025,000",Fort Greene,937,"$1,094",Condo,1,1,16,22.3,12.3,11.3,,,,,Island,4,0,0,
518 62nd street ,5/8/2023,"$1,498,888",Sunset Park ,2080,$721,Multi-family ,5,2,,,,,,,,,,,,,
183 Mcguinness Boulevand #6D,12/28/2022,"$1,140,000",Greenpoint,798,"$1,429",new Development,2,2,10.11,14.9,8.6,11,8,11.9,,,Island,3,0,0,
3165 Nostrand Avenue #2L,5/7/2023,"$255,000",Homecrest,800,$319,Co-op,2,1,20.2,11.6,11,15.6,,,,,Galley,5,0,0,
526 Union Avenue #205,5/14/2023,"$1,995,000",Williamsburg,1144,"$1,744",new Development,2,2,20.3,11.6,18.6,10.3,14.5,10,,,Line,3,0,1,
1496 Bedford Avenue #1D ,3/2/2023,"$1,275,000",Crown Heights,1571,$812,Condo,3,2.5,19.5,11.9,14,10.8,11,9.5,9.1,9.6,Galley,6,0,0,
2012 West 6th street,3/17/2023,"$1,388,000",Gravesend,2820,$492,Multi-family ,8,3,,,,,,,,,,,,,
1945 Ocean Avenue,5/25/2023,"$1,750,000",Midwood,6240,$280,Multi-family ,12,6.5,,,,,,,,,,,,,
303 Pulaski street ,6/7/2023,"$2,299,999",Stuyvesant Heights,3525,$652,Multi-family ,8,4.5,,,,,,,,,L-shape,12,0,1,
1568 84th street ,5/12/2023,"$968,888",Bedsonhurst,1250,$775,Multi-family ,3,2,,,,,,,,,,,,,
828 East 21at street,3/2/2023,"$1,550,000",Ditmas Park ,4000,$388,House,5,3.5,24.6,12.3,12.1,12.4,12,15.1,10.5,11,Island,7,0,0,
458 Neptune Avenue #11S,4/17/2023,"$329,000",Coney Island,750,$439,Co-op,1,1,,,,,,,,,,,,,
516 East 35th street ,2/28/2023,"$815,000",East Flatbush,NA,#VALUE!,House,3,2.5,,,15.8,11,9.1,9.3,13.1,10.5,L-shape,1,0,0,
3820 Avenue P,6/6/2023,"$939,000",Marine Park,1440,$652,House,4,2,,,,,,,,,,,,,
612 Hancock street ,4/21/2023,"$2,495,000",Stuyvesant Heights,3388,$736,Townhouse,7,4,,,,,,,,,L-shape,14,0,0,
806 Washington Avenue #3D,4/26/2023,"$499,500",Prospect Heights,NA,#VALUE!,Co-op,1,1,,,,,,,,,,,,,
85 Jay Street 17 J-York,12/7/2022,"$1,115,000",Dumbo,631,"$1,767",new Development,1,1,12.7,10,10.3,10.5,,,,,Line,3,0,0,
1021 Bedford Avenue #301,3/27/2023,"$449,000",bedford-Stuvesant,368,"$1,220",Condo,0,1,15.1,11.1,,,,,,,Island,1,0,0,
2316 Avenue T ,2/28/2023,"$969,000",Homecrest,1890,$513,House,3,2,17,16.5,17,11,16.4,10,,,Galley,8,0,0,
800 corteluou Road #6C,4/28/2023,"$475,000",Kensington,900,$528,Co-op,2,1,12,14.6,10.11,19.1,7.5,12-2,,,L-shape,3,1,0,
526 Union Avenue #304,3/27/2023,"$640,000",Williamsburg,450,"$1,422",new Development,0,1,11.6,17,,,,,,,Line,2,0,0,
50 Bridge street #409,2/1/2023,"$1,495,000",Dumbo,1243,"$1,203",Condo,1,1,33,17,16,12.9,12,9.2,,,L-shape,2,1,1,
534 Bradford street,2/28/2023,"$699,000",East New York,2200,$318,Multi-family ,6,2,,,,,,,,,,,,,
690 Fenimore street,3/28/2023,"$920,000",Wingate,1727,$533,Multi-family ,4,3,,,,,,,,,,,,,
8524 Avenue N,3/2/2023,"$830,000",Canarsie,1728,$480,Multi-family ,4,2.5,9.2,12.6,7.5,13.1,9.2,7.9,,,Galley,1,0,0,
217 Franklin street #3,3/28/2023,"$1,400,000",Greenpoint,969,"$1,445",Condo,2,2,12.3,19.9,11,11.5,10,8.7,,,Line,3,0,0,
467 Tompkins Avenue #3A,5/12/2023,"$535,000",bedford-Stuvesant,519,"$1,031",Multi-family ,1,1,8.6,22.6,8,12.5,,,,,L-shape,1,0,0,
114 Luquer street #3,3/31/2023,"$1,950,000",Carroll Gardens ,1172,"$1,664",Condo,3,2,18.5,15.11,10.1,15.8,8.6,9.9,9,12.2,Island,2,0,1,
14 Cass Place #5A,5/23/2023,"$349,000",Brighton Beach,950,$367,Co-op,2,1,15.1,15.1,13.1,10.6,12,8,,,Line,4,0,0,
8744 15th Avenue,4/15/2023,"$1,100,000",Bath Beach,NA,#VALUE!,Multi-family ,3,2,,,,,,,,,,,,,
525 East 3rd street,3/7/2023,"$1,995,000",Kensington,5000,$399,House,4,2,11.7,17.1,11.7,17.1,10.7,14.1,8.7,10.1,Line,4,0,0,
50 Bridge street #610,3/15/2023,"$2,249,000",Dumbo,1706,"$1,318",Condo,1,2,23.1,30.1,22.5,20.5,14.9,7,,,Island,6,2,0,
175 Willoughby street #16J,6/10/2023,"$689,000",Downtown Brooklyn,,#DIV/0!,Co-op,1,1,12,11,12.19,13.19,,,,,Island,5,0,0,
1021 Bedford Avenue #203,4/12/2023,"$649,000",bedford-Stuvesant,619,"$1,048",Condo,1,1,14.1,12.1,12.3,10,,,,,Island,0,0,1,
1964 West 13th street,4/9/2023,"$1,288,000",Gravesend,2036,$633,House,4,3,15.7,20,15.2,11.1,8.2,10.11,8.1,12.7,L-shape,1,0,1,
247 Cleveland street,2/23/2023,"$819,000",East New York,1905,$430,House,5,3.5,,,,,,,,,,,,,
1 Prospect Park West #2E,3/7/2023,"$1,300,000",Park Slope,906,"$1,435",Condo,1,1,14.4,11.4,16,10.6,,,,,Line ,3,0,0,
414 Bay Ridge Avenue ,3/7/2023,"$1,150,000",Bay Ridge,3300,$348,Multi-family ,9,3,,,,,,,,,,,,,
811 Cortelyou Road #3B,4/26/2023,"$499,000",Kensington,NA,#VALUE!,Co-op,1,1,12.4,20.5,11.9,17.8,,,,,Galley,5,0,0,
